City,Country_Code,Host_Country,Is_Knockout,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Count of Match_ID,Year,Quarter,Month,Day,Network,Match_Week,Stadium,Stage,Team1,Team1_Confederation,Team2,Team2_Confederation
Arlington,USA,USA,No,1899,Qtr 4,December,31,2026,Qtr 2,June,22,1899,Qtr 4,December,31,1,2026,Qtr 2,June,1,FOX,Week of Jun 22,AT&T Stadium,Group Stage,Argentina,CONMEBOL,Austria,UEFA
East Rutherford,USA,USA,No,1899,Qtr 4,December,31,2026,Qtr 2,June,13,1899,Qtr 4,December,31,1,2026,Qtr 2,June,1,FS1,Week of Jun 13,MetLife Stadium,Group Stage,Brazil,CONMEBOL,Morocco,CAF
East Rutherford,USA,USA,No,1899,Qtr 4,December,31,2026,Qtr 2,June,16,1899,Qtr 4,December,31,1,2026,Qtr 2,June,1,FOX,Week of Jun 16,MetLife Stadium,Group Stage,France,UEFA,Senegal,CAF
Kansas City,USA,USA,No,1899,Qtr 4,December,31,2026,Qtr 2,June,16,1899,Qtr 4,December,31,1,2026,Qtr 2,June,1,FOX,Week of Jun 16,Arrowhead Stadium,Group Stage,Argentina,CONMEBOL,Algeria,CAF
Philadelphia,USA,USA,No,1899,Qtr 4,December,31,2026,Qtr 2,June,19,1899,Qtr 4,December,31,1,2026,Qtr 2,June,1,FOX,Week of Jun 19,Lincoln Financial Field,Group Stage,Brazil,CONMEBOL,Haiti,CONCACAF
Philadelphia,USA,USA,No,1899,Qtr 4,December,31,2026,Qtr 2,June,22,1899,Qtr 4,December,31,1,2026,Qtr 2,June,1,FOX,Week of Jun 22,Lincoln Financial Field,Group Stage,France,UEFA,Iraq,AFC
